ECG,RED,IR,PCG
2108,103563,73757,0
2096,103529,73853,0
2132,103609,73761,0
2134,103589,73807,0
2128,103550,73769,0
2128,103597,73786,0
2141,103580,73788,0
2112,103568,73781,0
2116,103591,73767,0
2134,103544,73770,0
2156,103564,73786,0
2164,103560,73779,0
2158,103603,73766,0
2156,103578,73791,0
2160,103596,73774,0
2162,103551,73772,0
2180,103539,73821,0
2152,103607,73766,0
2140,103558,73745,0
2137,103526,73820,0
2112,103598,73796,0
2180,103560,73790,0
2148,103531,73782,0
2144,103599,73757,0
2148,103556,73806,0
2144,103565,73780,0
2146,103586,73760,0
2152,103582,73826,0
2156,103593,73771,0
2156,103563,73805,0
2124,103486,73773,0
2128,103639,73769,0
2128,103575,73800,0
2122,103595,73769,0
2148,103561,73777,0
2156,103547,73809,0
2184,103622,73772,0
2156,103555,73724,0
2148,103581,73790,0
2144,103549,73836,0
2148,103580,73810,0
2142,103611,73760,0
2152,103545,73809,0
2137,103595,73786,0
2136,103552,73773,0
2144,103570,73836,0
2144,103592,73784,0
2154,103561,73768,0
2154,103532,73838,0
2168,103605,73799,0
2162,103585,73811,0
2157,103561,73762,0
2184,103587,73781,0
2192,103549,73842,0
2174,103600,73793,0
2174,103582,73758,0
2168,103545,73810,0
2152,103597,73809,0
2160,103556,73819,0
2164,103556,73785,0
2154,103615,73793,0
2154,103567,73813,0
2112,103607,73803,0
2120,103561,73777,0
2124,103587,73847,0
2114,103635,73801,0
2146,103582,73761,0
2153,103513,73854,0
2148,103595,73795,0
2150,103585,73824,0
2160,103580,73734,0
2164,103564,73829,0
2164,103594,73806,0
2170,103607,73839,0
2172,103591,73858,0
2164,103612,73794,0
2164,103568,73793,0
2156,103540,73852,0
2148,103626,73803,0
2146,103608,73824,0
2144,103576,73772,0
2141,103610,73826,0
2133,103567,73857,0
2136,103612,73799,0
2132,103588,73773,0
2136,103567,73840,0
2153,103598,73836,0
2160,103554,73798,0
2158,103555,73849,0
2160,103628,73806,0
2160,103566,73819,0
2160,103536,73831,0
2172,103592,73806,0
2168,103601,73841,0
2136,103600,73794,0
2140,103573,73763,0
2132,103557,73878,0
2124,103598,73821,0
2156,103593,73781,0
2148,103552,73820,0
2140,103637,73827,0
2136,103561,73847,0
2134,103616,73795,0
2144,103612,73803,0
2142,103580,73776,0
2138,103589,73824,0
2152,103529,73820,0
2120,103558,73847,0
2156,103614,73806,0
2168,103563,73834,0
2156,103530,73846,0
2160,103610,73826,0
2174,103587,73837,0
2156,103578,73806,0
2164,103573,73810,0
2160,103569,73867,0
2160,103612,73819,0
2160,103599,73773,0
2156,103564,73865,0
2154,103612,73839,0
2148,103557,73851,0
2156,103560,73795,0
2145,103614,73812,0
2146,103568,73852,0
2160,103592,73838,0
2152,103552,73767,0
2124,103576,73878,0
2128,103621,73819,0
2134,103565,73822,0
2116,103493,73870,0
2162,103613,73838,0
2156,103593,73846,0
2130,103571,73815,0
2152,103595,73827,0
2192,103547,73831,0
2156,103573,73839,0
