2024,60015,52749,-9
2016,60035,52757,4
3540,60052,52762,-47
2260,60063,52771,-17
2210,60078,52772,-32
1944,60091,52774,16
1964,60119,52785,13
1968,60135,52795,18
1976,60145,52794,-10
1992,60165,52803,-12
1976,60176,52803,-30
2093,60162,52801,5
2089,60112,52785,-13
2036,60042,52760,19
2050,59960,52740,19
2036,59921,52723,23
2044,59903,52713,-32
2047,59907,52716,-19
2024,59920,52724,-28
2064,59922,52720,5
2067,59927,52723,-17
2034,59937,52723,22
2049,59936,52723,13
2076,59941,52724,7
2088,59946,52736,-21
2088,59954,52729,-14
2028,59949,52727,-22
2074,59951,52730,5
2072,59955,52731,-6
2088,59961,52732,29
2100,59978,52738,34
2082,59999,52748,0
2104,60020,52755,-23
2100,60041,52760,-23
1968,60068,52768,-14
3656,60086,52775,10
3344,60104,52779,11
2148,60120,52785,32
2132,60135,52792,38
1954,60162,52800,4
1988,60181,52809,-22
1986,60199,52816,-31
1962,60218,52820,-12
2056,60228,52822,11
2047,60225,52821,6
2046,60191,52806,16
2068,60134,52794,30
2040,60058,52771,-6
2060,60011,52753,-36
2036,59991,52748,-42
2032,60009,52753,-4
2064,60031,52765,39
2064,60048,52763,30
1818,60065,52766,16
2042,60069,52770,34
2042,60086,52772,-10
2100,60098,52775,-21
2092,60107,52776,-27
2012,60105,52773,14
2176,60105,52778,18
2088,60106,52778,27
2112,60097,52776,-11
2112,60108,52782,6
2080,60128,52785,-20
2124,60134,52789,-23
2124,60153,52796,-29
1980,60172,52798,12
3552,60189,52811,13
3568,60197,52813,20
2216,60218,52818,0
2200,60223,52821,8
1936,60238,52829,-15
1973,60254,52828,0
2000,60262,52832,-14
1962,60272,52835,14
2054,60277,52834,13
2050,60281,52839,22
2104,60259,52829,0
2123,60203,52815,-4
2044,60123,52784,-19
2047,60063,52769,0
2046,60026,52759,-16
1996,60019,52756,32
2033,60026,52759,10
2028,60039,52767,30
2080,60057,52765,28
2080,60078,52773,4
2034,60093,52780,0
2080,60110,52788,12
2080,60127,52788,3
2047,60128,52791,30
2092,60124,52789,-8
2072,60128,52788,20
2088,60131,52793,-42
2086,60136,52795,-35
2024,60145,52793,-32
2108,60152,52800,8
2090,60172,52805,1
2548,60190,52811,7
2360,60203,52822,-11
2332,60217,52824,12
2008,60222,52821,-41
2012,60241,52828,-28
1936,60259,52840,-13
