RED,IR
26129,30224
26134,30237
26140,30233
26136,30239
26140,30238
26134,30240
26129,30246
26140,30248
26137,30248
26140,30252
26136,30243
26134,30235
26126,30211
26117,30185
26100,30162
26098,30141
26088,30119
26082,30102
26084,30094
26079,30084
26075,30081
26079,30086
26078,30087
26079,30087
26089,30097
26082,30109
26092,30112
26087,30113
26093,30118
26096,30115
26087,30114
26093,30119
26093,30114
26086,30109
26086,30103
26090,30114
26091,30109
26088,30109
26088,30115
26098,30120
26094,30123
26096,30130
26095,30138
26095,30132
26099,30130
26095,30131
26097,30128
26095,30131
26095,30129
26096,30126
26090,30129
26093,30130
26094,30127
26095,30127
26096,30130
26095,30133
26094,30131
26096,30140
26099,30143
26103,30140
26103,30142
26103,30147
26101,30153
26101,30150
26101,30151
26104,30152
26105,30154
26107,30158
26102,30158
26107,30161
26101,30161
26106,30163
26107,30171
26111,30166
26111,30168
26110,30173
26112,30171
26106,30171
26108,30174
26109,30174
26111,30174
26112,30180
26118,30184
26112,30189
26117,30186
26114,30188
26113,30188
26115,30189
26114,30192
26121,30194
26110,30197
26117,30198
26120,30203
26118,30205
26116,30205
26123,30211
26120,30209
26122,30213
26119,30214
26122,30218
26123,30221
26128,30222
26129,30229
26125,30229
26130,30233
26131,30232
26127,30229
26126,30229
26119,30203
26107,30186
26102,30162
26093,30138
26083,30121
26080,30104
26071,30090
26071,30080
26071,30072
26068,30070
26068,30074
26073,30081
26076,30080
26073,30087
26082,30096
26077,30098
26085,30098
26083,30108
26081,30102
26086,30104
26079,30106
26084,30101
26082,30103
26080,30099
26078,30098
26080,30101
26079,30106
26089,30107
26085,30115
26085,30118
26085,30116
26086,30121
26082,30119
26083,30118
26087,30110
26081,30116
26085,30110
26080,30115
26086,30112
26080,30105
26082,30111
26085,30111
26087,30115
26084,30113
26088,30120
26086,30125
26092,30128
26091,30123
26094,30132
26090,30134
26090,30129
26092,30133
26093,30139
26095,30134
26094,30142
26098,30143
26098,30143
26099,30149
26093,30146
26095,30150
26097,30148
26100,30153
26101,30156
26097,30160
26104,30160
26097,30157
26098,30164
26098,30164
26106,30169
26104,30173
26104,30170
26107,30173
26103,30175
26108,30180
26108,30182
26110,30187
26108,30182
26110,30183
26112,30185
26111,30193
26116,30192
26110,30201
26115,30198
26113,30204
26117,30209
26119,30208
26118,30213
26119,30212
26123,30222
26123,30222
26126,30227
26124,30225
26121,30216
26121,30212
26111,30191
26101,30166
26087,30140
26084,30114
26078,30101
26072,30089
26064,30077
26069,30071
26062,30068
26064,30068
26063,30065
26073,30072
26074,30083
26073,30086
26080,30095
26082,30096
26081,30102
26081,30104
26079,30100
26082,30098
26079,30101
26076,30097
26082,30094
26078,30094
26079,30092
26078,30099
26087,30106
26081,30106
26086,30116
26089,30116
26084,30115
26088,30116
26085,30115
26088,30109
26080,30112
26088,30111
26081,30111
26083,30115
26080,30108
26084,30111
26087,30111
26084,30115
26079,30111
26084,30123
26083,30124
26082,30118
26084,30119
26087,30127
26092,30129
26089,30121
26087,30130
26085,30128
26090,30137
26095,30144
26095,30140
26093,30140
26097,30148
26094,30147
26096,30150
26093,30150
26093,30150
26095,30157
26098,30152
26094,30152
26097,30163
26103,30159
26101,30159
26100,30168
26099,30165
26102,30168
26106,30175
26107,30179
26107,30181
26105,30182
26106,30182
26109,30183
