RED,IR
74704,106741
74690,106789
74695,106734
74658,106793
74682,106752
74673,106764
74655,106723
74704,106717
74651,106834
74648,106757
74702,106738
74648,106711
74682,106782
74649,106766
74666,106757
74636,106745
74729,106723
74669,106805
74670,106756
74657,106748
74645,106746
74708,106741
74645,106826
74675,106739
74686,106759
74701,106727
74660,106757
74605,106757
74674,106707
74683,106787
74691,106724
74654,106800
74612,106752
74681,106728
74692,106790
74712,106746
74662,106788
74612,106757
74706,106739
74693,106778
74700,106731
74675,106774
74645,106742
74713,106729
74675,106756
74678,106753
74672,106813
74685,106734
74704,106774
74687,106725
74653,106756
74627,106762
74711,106738
74683,106788
74674,106745
74662,106714
74650,106795
74709,106735
74678,106778
74651,106766
74675,106719
74648,106796
74724,106737
74689,106759
74690,106746
74678,106775
74673,106741
74698,106724
74659,106746
74704,106755
74680,106796
74694,106749
74693,106750
74695,106783
74712,106782
74663,106793
74692,106732
74768,106738
74682,106787
74677,106786
74680,106765
74658,106748
74731,106714
74665,106832
74704,106762
74676,106798
74737,106755
74682,106760
74669,106767
74699,106710
74667,106781
74754,106745
74693,106796
74646,106782
74722,106707
74702,106811
74743,106736
74702,106790
74652,106783
74741,106730
74722,106822
74723,106754
74701,106822
74742,106796
74704,106805
74714,106754
74727,106772
74693,106817
74701,106782
74675,106785
74765,106761
74712,106826
74746,106800
74708,106818
74725,106784
74792,106778
74729,106838
74745,106792
74733,106745
74738,106793
74774,106768
74742,106851
74768,106806
74743,106805
74774,106772
74778,106742
74724,106836
74796,106791
74769,106849
74799,106795
74778,106837
74714,106822
74802,106815
74786,106849
74800,106801
74778,106767
74704,106805
74825,106919
74795,106817
74795,106839
74772,106769
74769,106833
74789,106775
74780,106863
74842,106814
74806,106877
74807,106833
74780,106859
74821,106804
74807,106795
74764,106832
74849,106860
74791,106871
74825,106817
74810,106797
74790,106881
74847,106843
74806,106866
74816,106829
74823,106776
74801,106895
74846,106838
74845,106873
74880,106852
74820,106870
74804,106858
74804,106812
74821,106862
74886,106831
74894,106919
74853,106905
74847,106848
74850,106846
74863,106821
74858,106822
74841,106924
74857,106859
74856,106866
74791,106839
74888,106833
74837,106910
74897,106852
74873,106880
74863,106847
74837,106881
74790,106858
74882,106818
74862,106896
74895,106869
74857,106909
74829,106857
74924,106803
74856,106898
74884,106890
74870,106913
74818,106851
74934,106859
74873,106886
74889,106881
74863,106864
74841,106860
74894,106827
74884,106838
74828,106874
74877,106874
74888,106872
74910,106856
74863,106909
74832,106870
74919,106845
74892,106909
74908,106857
74881,106899
74841,106860
74932,106861
74897,106896
74892,106874
74897,106846
74852,106922
74948,106871
74890,106876
74911,106880
74895,106905
74846,106871
74915,106831
74882,106874
74940,106885
74900,106932
74926,106869
74919,106886
74866,106845
74955,106876
74894,106912
74932,106864
74906,106845
74888,106878
74901,106891
74922,106929
74960,106882
74937,106876
74926,106879
74909,106822
74868,106878
74991,106823
74910,106910
74967,106886
74909,106905
74937,106867
74928,106894
74879,106853
74972,106895
74917,106904
74942,106860
74940,106819
74920,106900
74943,106880
